iter	Passed	Remaining
652	1614	857
653	1616	855
654	1618	852
655	1621	850
656	1623	847
657	1625	844
658	1627	842
659	1630	839
660	1632	837
661	1634	834
662	1636	832
663	1639	829
664	1641	826
665	1643	824
666	1645	821
667	1647	819
668	1650	816
669	1652	813
670	1654	811
671	1656	808
672	1658	806
673	1661	803
674	1663	800
675	1665	798
676	1668	795
677	1670	793
678	1672	790
679	1674	788
680	1679	786
681	1681	784
682	1683	781
683	1686	779
684	1693	778
685	1697	776
686	1701	775
687	1704	772
688	1707	770
689	1710	768
690	1712	765
691	1715	763
692	1718	761
693	1720	758
694	1723	756
695	1725	753
696	1728	751
697	1731	748
698	1733	746
699	1738	744
700	1740	742
701	1743	740
702	1746	737
703	1749	735
704	1752	733
705	1754	730
706	1757	728
707	1760	726
708	1763	723
709	1766	721
710	1770	719
711	1773	717
712	1776	714
713	1778	712
714	1781	710
715	1783	707
716	1785	704
717	1787	702
718	1790	699
719	1792	697
720	1794	694
721	1796	691
722	1798	689
723	1801	686
724	1803	684
725	1805	681
726	1807	678
727	1810	676
728	1812	673
729	1814	671
730	1817	668
731	1819	666
732	1821	663
733	1823	660
734	1826	658
735	1828	655
736	1830	653
737	1832	650
738	1834	648
739	1837	645
740	1839	642
741	1841	640
742	1843	637
743	1845	635
744	1848	632
745	1850	629
746	1852	627
747	1854	624
748	1856	622
749	1859	619
750	1862	617
751	1864	614
752	1866	612
753	1869	609
754	1871	607
755	1873	604
756	1875	602
757	1878	599
758	1880	596
759	1882	594
760	1884	591
761	1886	589
762	1889	586
763	1891	584
764	1893	581
765	1895	579
766	1898	576
767	1901	574
768	1903	571
769	1906	569
770	1908	566
771	1910	564
772	1912	561
773	1915	559
774	1917	556
775	1919	554
776	1921	551
777	1924	549
778	1926	546
779	1928	543
780	1930	541
781	1934	539
782	1937	536
783	1939	534
784	1941	531
785	1944	529
786	1946	526
787	1948	524
788	1951	521
789	1953	519
790	1955	516
791	1957	514
792	1959	511
793	1962	509
794	1964	506
795	1966	504
796	1969	501
797	1971	499
798	1973	496
799	1975	493
800	1978	491
801	1980	488
802	1982	486
803	1984	483
804	1986	481
805	1989	478
806	1991	476
807	1993	473
808	1996	471
809	1998	468
810	2001	466
811	2003	463
812	2005	461
813	2007	458
814	2010	456
815	2012	453
816	2014	451
817	2016	448
818	2018	446
819	2021	443
820	2023	441
821	2025	438
822	2027	436
823	2030	433
824	2032	431
825	2034	428
826	2036	426
827	2039	423
828	2041	421
829	2043	418
830	2045	416
831	2047	413
832	2050	411
833	2052	408
834	2055	406
835	2057	403
836	2059	401
837	2061	398
838	2064	396
839	2066	393
840	2068	391
841	2070	388
842	2072	386
843	2075	383
844	2077	381
845	2079	378
846	2081	376
847	2085	373
848	2087	371
849	2089	368
850	2092	366
851	2094	363
852	2097	361
853	2099	358
854	2101	356
855	2104	353
856	2106	351
857	2108	348
858	2110	346
859	2113	343
860	2115	341
861	2117	338
862	2119	336
863	2121	333
864	2124	331
865	2126	328
866	2128	326
867	2130	323
868	2132	321
869	2134	318
870	2137	316
871	2139	314
872	2141	311
873	2143	309
874	2145	306
875	2147	304
876	2150	301
877	2152	299
878	2154	296
879	2156	294
880	2158	291
881	2161	289
882	2163	286
883	2165	284
884	2167	281
885	2169	279
886	2171	276
887	2174	274
888	2176	271
889	2178	269
890	2181	266
891	2183	264
892	2188	262
893	2192	259
894	2195	257
895	2198	255
896	2201	252
897	2204	250
898	2206	247
899	2208	245
900	2210	242
901	2212	240
902	2215	237
903	2217	235
904	2219	232
905	2221	230
906	2223	228
907	2226	225
908	2228	223
909	2230	220
910	2232	218
911	2234	215
912	2236	213
913	2239	210
914	2242	208
915	2244	205
916	2246	203
917	2248	200
918	2250	198
919	2253	195
920	2255	193
921	2258	191
922	2260	188
923	2262	186
924	2264	183
925	2267	181
926	2269	178
927	2271	176
928	2273	173
929	2275	171
930	2277	168
931	2280	166
932	2282	163
933	2284	161
934	2286	158
935	2288	156
936	2290	154
937	2293	151
938	2295	149
939	2297	146
940	2299	144
941	2301	141
942	2303	139
943	2305	136
944	2308	134
945	2310	131
946	2312	129
947	2314	126
948	2316	124
949	2319	122
950	2321	119
951	2323	117
952	2325	114
953	2327	112
954	2329	109
955	2332	107
956	2334	104
957	2336	102
958	2338	99
959	2340	97
960	2343	95
961	2345	92
962	2347	90
963	2350	87
964	2353	85
965	2355	82
966	2358	80
967	2360	78
968	2362	75
969	2364	73
970	2366	70
971	2368	68
972	2371	65
973	2373	63
974	2375	60
975	2377	58
976	2379	56
977	2382	53
978	2384	51
979	2386	48
980	2388	46
981	2391	43
982	2393	41
983	2395	38
984	2398	36
985	2401	34
986	2403	31
987	2405	29
988	2407	26
989	2409	24
990	2412	21
991	2414	19
992	2416	17
993	2418	14
994	2421	12
995	2423	9
996	2425	7
997	2427	4
998	2429	2
999	2431	0
